dataset_name,dbms,llm_model,part_number,time_catalog_load,time_total,all_token_count
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_12,0.0430963039398193,113.46827816963196,13919
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_12,0.0430963039398193,108.39071321487428,13937
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_5,0.0430963039398193,114.64212703704834,14684
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_5,0.0430963039398193,114.69345021247864,14684
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_10,0.0430963039398193,106.8846275806427,14815
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_10,0.0430963039398193,143.29609274864197,17171
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_22,0.0430963039398193,72.80721879005432,10445
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_22,0.0430963039398193,88.31049728393555,11713
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_18,0.0430963039398193,113.12655568122864,14900
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_18,0.0430963039398193,86.37833833694458,12524
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_3,0.0430963039398193,134.95769429206848,17782
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_3,0.0430963039398193,143.7043023109436,19046
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_8,0.0430963039398193,104.97451329231262,14535
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_8,0.0430963039398193,101.19944953918456,14121
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_7,0.0430963039398193,111.58582901954652,14339
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_7,0.0430963039398193,114.24374127388,14339
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_6,0.0430963039398193,115.09627103805542,15716
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_6,0.0430963039398193,140.41655158996582,18215
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_17,0.0430963039398193,117.60775756835938,14181
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_17,0.0430963039398193,118.5071952342987,14181
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_16,0.0430963039398193,106.01992511749268,13302
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_16,0.0430963039398193,104.90096306800842,13302
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_19,0.0430963039398193,91.55435705184937,12471
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_19,0.0430963039398193,111.56289792060852,14210
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_14,0.0430963039398193,122.07747292518616,16703
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_14,0.0430963039398193,107.7211582660675,14939
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_20,0.0430963039398193,70.93230748176575,9695
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_20,0.0430963039398193,72.60929918289185,9695
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_21,0.0430963039398193,122.9680721759796,16717
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_21,0.0430963039398193,115.24453020095824,15979
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_9,0.0430963039398193,152.05257940292358,20946
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_9,0.0430963039398193,154.28756546974182,20926
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_4,0.0430963039398193,121.0583155155182,15796
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_4,0.0430963039398193,121.74609065055849,15796
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_1,0.0430963039398193,98.6831681728363,14398
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_1,0.0430963039398193,154.36303567886353,20158
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_15,0.0430963039398193,83.99019241333008,11440
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_15,0.0430963039398193,88.98100233078003,11696
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_13,0.0430963039398193,77.95700144767761,11409
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_13,0.0430963039398193,77.06309986114502,11409
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_2,0.0430963039398193,88.32740879058838,12313
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_2,0.0430963039398193,87.37280201911926,12313
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_11,0.0430963039398193,103.3680567741394,14534
tpch,PostgreSQL,gemini-2.5-pro,Generate-Query-Template_11,0.043096303939819336,89.96956014633179,13506
